model,question_id,question,reference_answer,generated_answer,response_time,rouge1,rouge2,rougeL,semantic_similarity,medical_accuracy,groundedness,overall_accuracy,retrieval_quality
Baseline_Model,0,What are the main symptoms of diabetes mellitus?,"The main symptoms of diabetes mellitus include polyuria (frequent urination), polydipsia (excessive thirst), polyphagia (increased hunger), unexplained weight loss, fatigue, and blurred vision due to hyperglycemia.","Persons with diabetes
are at increased risk for cardiovascular disease, which is the main As plasma glucose levels fall further, symptoms prompt
behavioral defense against hypoglycemia, including the ingestion of
food -2; -1). Rickels
OVERALL GOALS
The goals of therapy for type 1 or type 2 diabetes mellitus (DM) are
to (1) eliminate symptoms related to hyperglycemia, (2) reduce or
eliminate the long-term microvascular and macrovascular
complications of DM (Chap. In a patient with established DM, the initial assessment should
include a review of symptoms at the time of the initial diabetes
diagnosis.",0.04758715629577637,0.18333333333333338,0.05084745762711864,0.13333333333333333,0.5550679,1.0,1.0,0.6092006150881449,0.5
Baseline_Model,1,What causes Type 1 diabetes?,"Type 1 diabetes is caused by autoimmune destruction of pancreatic beta cells, leading to absolute insulin deficiency requiring lifelong insulin therapy.","Many individuals with
long-standing type 1 DM produce a small amount of insulin (as
reflected by C-peptide production), and autopsy studies show that
beta cells can persist in the pancreas decades after diagnosis. -6 Temporal model for development of type 1 diabetes. ■ ATYPICAL DIABETES
It is increasingly recognized that some forms of diabetes have
features of both type 1 and type 2 diabetes.",0.013815879821777344,0.20930232558139533,0.07142857142857142,0.11627906976744187,0.7581799,0.6666666666666666,1.0,0.6116480910500814,0.5
Baseline_Model,2,How is hypertension diagnosed and classified?,Hypertension is diagnosed when systolic BP ≥140 mmHg or diastolic BP ≥90 mmHg on multiple occasions. It is classified as primary (essential) hypertension in 90-95% of cases or secondary hypertension from underlying causes.,"■ PRIMARY HYPERTENSION
Primary hypertension tends to be familial and is likely to be the
consequence of an interaction between environmental and genetic
factors. Compared to the earlier
definition, based on the new definition, the prevalence of pressure and elevated out-of-office blood pressure) is associated
with a risk of cardiovascular disease and all-cause mortality twice
that of normotensive individuals, with a risk range similar to that of
patients with sustained hypertension. CLINICAL DISORDERS OF HYPERTENSION
Depending on methods of patient ascertainment, ∼ 80–95% of
hypertensive patients are diagnosed as having primary, or
“essential,” hypertension (inclusive of patients with obesity and the
metabolic syndrome).",0.011081933975219727,0.20143884892086333,0.029197080291970802,0.12949640287769784,0.7103979,1.0,1.0,0.6882924747552803,0.5
Baseline_Model,3,What are the first-line treatments for hypertension?,"First-line treatments for hypertension include lifestyle modifications (DASH diet, exercise, weight loss) and medications such as ACE inhibitors, ARBs, thiazide diuretics, and calcium channel blockers, with target BP <130/80 mmHg.","The primary classes of
drugs used to treat hypertension are listed in -9. There is considerable variation in individual responses to
different classes of antihypertensive agents, and the magnitude of
response to any single agent may be limited by activation of
counter-regulatory mechanisms. More
often than not, combinations of agents, with complementary
antihypertensive mechanisms, are required to achieve goal blood
pressure reductions.",0.012069225311279297,0.06315789473684211,0.0,0.06315789473684211,0.66934234,0.5,1.0,0.4973027484667929,0.5
Baseline_Model,4,What causes myocardial infarction?,"Myocardial infarction is typically caused by atherosclerotic plaque rupture with subsequent thrombosis, leading to coronary artery occlusion and myocardial ischemia and necrosis.","■ MYOCARDIAL ISCHEMIA/INJURY
Myocardial ischemia causing chest discomfort, termed angina
pectoris, is a primary clinical concern in patients presenting with
chest symptoms. Myocardial ischemia is precipitated by an
imbalance between myocardial oxygen requirements and myocardial
oxygen supply, resulting in insufficient delivery of oxygen to meet the
heart’s metabolic demands. Myocardial oxygen consumption may be
elevated by increases in heart rate, ventricular wall stress, and
myocardial contractility, whereas myocardial oxygen supply is
determined by coronary blood flow and coronary arterial oxygen
content.",0.010429859161376953,0.23076923076923073,0.058823529411764705,0.1346153846153846,0.53492355,0.6,1.0,0.48400023827185995,0.5
Baseline_Model,5,What is the treatment for STEMI?,"STEMI treatment includes immediate reperfusion with primary PCI (preferred) or fibrinolytic therapy, dual antiplatelet therapy (aspirin plus P2Y12 inhibitor), anticoagulation, beta-blockers, ACE inhibitors, and high-intensity statins.","TREATMENT
Congestive Heart Failure
The management of CHF in association with STEMI is similar to
that of acute heart failure secondary to other forms of heart disease
(avoidance of hypoxemia, diuresis, afterload reduction, inotropic. In the emergency department, the goals for the management of
patients with suspected STEMI include control of cardiac discomfort,
rapid identification of patients who are candidates for urgent
reperfusion therapy, triage of lower-risk patients to the appropriate
location in the hospital, and avoidance of inappropriate discharge of
patients with STEMI. Many aspects of the treatment of STEMI are
initiated in the emergency department and then continued during the
in-hospital phase of management -5).",0.010129451751708984,0.10218978102189781,0.0,0.072992700729927,0.6287039,0.6666666666666666,0.9846153846153847,0.5318701942906763,0.5
Baseline_Model,6,What are the most common causes of community-acquired pneumonia?,"The most common causes of community-acquired pneumonia are Streptococcus pneumoniae, Haemophilus influenzae, Mycoplasma pneumoniae, Chlamydophila pneumoniae, and respiratory viruses.","pneumoniae is a major cause of
community-acquired respiratory illness in both children and adults
and is often grouped with Chlamydia pneumoniae and Legionella
species as one of the most important bacterial causes of “atypical”
community-acquired pneumonia. This organism reportedly
accounts for as many as 10% of cases of community-acquired
pneumonia, most of which are diagnosed by serology. Analysis of 13 studies of community-acquired
pneumonia published between 1996 to 2001 (which included 6207
ambulatory and hospitalized adults) showed that the overall
prevalence of M.",0.011528491973876953,0.24299065420560748,0.11428571428571428,0.18691588785046728,0.7137589,1.0,1.0,0.699870097135829,0.5
Baseline_Model,7,How is pneumonia diagnosed and treated?,"Pneumonia is diagnosed through clinical symptoms, physical examination, and chest X-ray showing infiltrate. Treatment includes appropriate antibiotics based on severity (outpatient: amoxicillin or macrolide; inpatient: beta-lactam plus macrolide or fluoroquinolone) plus supportive care.","However, efforts to identify the cause of
pneumonia are important when the disease is more severe and
when the diagnosis of pneumonia is not clearly established. A microbiologically confirmed
diagnosis is made in only a minority of pneumococcal cases since,
in most circumstances (and especially in pneumonia and otitis
media), fluid from the site of infection is not available for etiologic
determination, and infection of body fluids distant from the site of
infection (e. DIAGNOSIS Some authorities advocate treating uncomplicated,
nonsevere, community-acquired pneumonia without determining the
microbiologic etiology, given that this information is unlikely to alter
clinical management.",0.011037111282348633,0.07462686567164178,0.015151515151515152,0.04477611940298507,0.59217364,0.6666666666666666,0.9850746268656716,0.5080271164872753,0.5
Baseline_Model,8,What are the main causes of chronic kidney disease?,"The main causes of chronic kidney disease include diabetes mellitus (45%), hypertension (27%), glomerulonephritis, and polycystic kidney disease.","The findings are influenced by the regions of the
kidney that are involved and by factors such as family history, toxic
exposures, the patient’s birth weight and age, and time course of the
findings. While the loss of kidney
transplant due to acute rejection is now a rare event, most allografts
eventually succumb at varying rates to a chronic process consisting
of interstitial fibrosis, tubular atrophy, vasculopathy, and
glomerulopathy, the pathogenesis of which in varying degrees is with signs highly specific for a syndrome of dysfunction referable to a
structure, but not diagnostic of a particular disease (such as
proteinuria); or with a finding highly characteristic of a specific
diagnosis (such as polycystic kidney disease). Disorders of the
kidney presenting without symptoms (such as invisible
microhematuria or a stone) are often discovered by laboratory
testing or imaging.",0.011012554168701172,0.11538461538461539,0.025974025974025972,0.08974358974358974,0.50549734,0.5,1.0,0.4232614887066376,0.5
Baseline_Model,9,How is chronic kidney disease managed?,"CKD management includes treating underlying causes, blood pressure control (<130/80) with ACE inhibitor/ARB, diabetes management (HbA1c <7%), dietary modifications (protein and phosphorus restriction), treating complications (anemia, bone disease), and preparing for renal replacement therapy when eGFR <20.","Bargman, Karl Skorecki
Chronic kidney disease (CKD) encompasses a spectrum of
pathophysiologic processes associated with abnormal kidney
function, often with a progressive decline in glomerular filtration rate
(GFR). -1 Kidney Disease Improving Global Outcome (KDIGO)
classification of chronic kidney disease (CKD). When no overt evidence
for a primary glomerular or tubulointerstitial kidney disease process
is present, CKD is frequently attributed to hypertension.",0.011057376861572266,0.09900990099009901,0.0,0.07920792079207921,0.53656995,0.14285714285714285,1.0,0.32896390151775207,0.5
